City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
1,Lorengau,PG,81.34,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
3,Meybod,IR,84.22,clear sky,32.2501,54.0166,Traditional Hotel Restaurant Haji Malek
4,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
7,Casambalangan,PH,79.29,clear sky,18.3765,122.1274,Villa Saturnina
10,Kapaa,US,83.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Winneba,GH,82.87,scattered clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
12,Rikitea,PF,76.42,light rain,-23.1203,-134.9692,Pension Maro'i
13,Vallenar,CL,78.75,broken clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
17,Hays,US,85.35,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
22,Jamestown,US,75.85,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
28,Kavaratti,IN,84.0,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
29,Bubaque,GW,79.03,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
31,Adwa,ET,75.07,broken clouds,14.1646,38.8955,Maay Assa Hotel
34,San Patricio,US,85.06,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
35,Ixtapa,MX,83.43,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
37,Bengkulu,ID,75.7,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
40,Dingle,PH,77.16,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
47,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
49,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
55,Hilo,US,82.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
56,Akhmim,EG,84.4,clear sky,26.5622,31.745,برج الماسة السكني
60,Gazanjyk,TM,83.35,overcast clouds,39.2446,55.5154,Railway motel
65,Camargo,MX,89.26,few clouds,27.6667,-105.1667,Hotel Santa Fe
69,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
70,Cururupu,BR,82.92,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
79,Nushki,PK,83.34,few clouds,29.5542,66.0215,Jahangir Hotel Noshki
80,Fortuna,US,78.48,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
81,Butaritari,KI,76.42,very heavy rain,3.0707,172.7902,Isles Sunset Lodge
82,Grajau,BR,85.05,overcast clouds,-5.8194,-46.1386,Hotel Confiança
86,Puerto Ayora,EC,76.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
94,Teahupoo,PF,78.76,overcast clouds,-17.8333,-149.2667,Vanira Lodge
96,Tomigusuku,JP,77.14,few clouds,26.185,127.675,Hotel Gran View Okinawa
100,Ewa Beach,US,83.01,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
102,Tecoanapa,MX,89.83,few clouds,16.5167,-98.75,Hotel Manglares
109,Kahului,US,84.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
112,Twentynine Palms,US,87.93,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
114,Shagamu,NG,82.18,few clouds,6.8432,3.6478,Remo Majestic Hotel
115,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
117,Salalah,OM,86.09,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
118,Remedios,CU,85.12,scattered clouds,22.4947,-79.5458,Hostal Yunai
120,Saint George,US,80.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
121,Kandrian,PG,78.6,light rain,-6.2167,149.55,Kandrian Station
126,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
132,Maragogi,BR,77.36,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
139,Brownsville,US,87.75,broken clouds,25.9018,-97.4975,University Inn & Suites
148,Shwebo,MM,84.51,overcast clouds,22.5667,95.7,MOON SHINE Guest House
149,Prado,BR,77.81,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
151,La Union,PE,82.27,few clouds,-5.4,-80.75,Los Portales
157,Bossangoa,CF,79.2,few clouds,6.4926,17.4552,LA PERLE DE BOSTON
158,Da Nang,VN,82.38,few clouds,16.0678,108.2208,Sun River Hotel
162,Atuona,PF,80.24,few clouds,-9.8,-139.0333,Villa Enata
174,Kroya,ID,77.2,light rain,-7.6331,109.2461,RUSTANTO Fam
176,Sinnamary,GF,77.13,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
183,Victoria,HK,85.32,broken clouds,22.2855,114.1577,Mini Hotel Central
186,Jiazi,CN,78.89,clear sky,22.8779,116.06700000000001,Hotel Jin Hao
189,Meulaboh,ID,77.41,broken clouds,4.1363,96.1285,Kost Pria
191,Copacabana,CO,85.73,overcast clouds,6.3463,-75.5089,Hospedaje Brazil
193,Porto Novo,BJ,81.3,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
196,Takoradi,GH,81.27,scattered clouds,4.8845,-1.7554,Raybow International Hotel
200,Cam Ranh,VN,80.56,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
204,Alta Floresta,BR,89.42,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
205,East London,ZA,75.56,overcast clouds,-33.0153,27.9116,Tu Casa
207,Shimoni,KE,78.73,clear sky,-4.6476,39.3817,Shimoni Reef Lodge
209,Puerto Baquerizo Moreno,EC,79.79,few clouds,-0.9,-89.6,Hotel los Algarrobos
214,Bartlesville,US,77.56,broken clouds,36.7473,-95.9808,Hilton Garden Inn Bartlesville
215,Ferry Pass,US,88.09,clear sky,30.5102,-87.2125,Hampton Inn Pensacola-Airport (Cordova Mall Area)
217,Samana,DO,82.62,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
218,Muli,MV,84.16,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
222,Conde,BR,80.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
224,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
225,Mocajuba,BR,82.17,overcast clouds,-2.5842,-49.5072,Hotel Saylon
226,Kieta,PG,78.53,light rain,-6.2167,155.6333,Uruna Bay Retreat
228,Santa Isabel Do Rio Negro,BR,85.73,light rain,-0.4139,-65.0192,Hotel GSA
230,Faanui,PF,81.54,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
234,Sola,VU,77.74,overcast clouds,-13.8833,167.55,Leumerus Bungalows
250,Polignano A Mare,IT,76.71,scattered clouds,40.9959,17.2159,Grotta Palazzese
253,Padang,ID,77.81,overcast clouds,-0.9492,100.3543,Mercure Padang
256,Saint Anthony,US,86.32,few clouds,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
258,Mogadishu,SO,79.0,light rain,2.0371,45.3438,Hotel Juba
259,Malakal,SS,82.4,overcast clouds,9.5334,31.6605,Nile Palace Hotel
263,Port Blair,IN,83.34,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
