City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,75.36,78,75,5.75,broken clouds
1,Lorengau,PG,-2.0226,147.2712,81.34,81,100,13.31,moderate rain
2,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,60,75,8.05,broken clouds
3,Meybod,IR,32.2501,54.0166,84.22,17,6,11.61,clear sky
4,Alofi,NU,-19.0595,-169.9187,78.69,94,75,3.44,broken clouds
5,Polson,US,47.6936,-114.1632,53.42,54,100,13.0,overcast clouds
6,Leningradskiy,RU,69.3833,178.4167,31.8,88,100,9.37,overcast clouds
7,Casambalangan,PH,18.3765,122.1274,79.29,88,8,3.96,clear sky
8,Punta Arenas,CL,-53.15,-70.9167,35.62,68,40,25.17,scattered clouds
9,Albany,US,42.6001,-73.9662,75.31,36,46,3.49,scattered clouds
10,Kapaa,US,22.0752,-159.319,83.48,68,1,3.0,clear sky
11,Winneba,GH,5.3511,-0.6231,82.87,83,36,7.02,scattered clouds
12,Rikitea,PF,-23.1203,-134.9692,76.42,82,100,18.92,light rain
13,Vallenar,CL,-28.5708,-70.7581,78.75,15,81,5.08,broken clouds
14,Tagab,AF,34.855,69.6492,67.91,26,0,8.16,clear sky
15,Lodja,CD,-3.4833,23.4333,72.54,62,82,1.41,broken clouds
16,Hobart,AU,-42.8794,147.3294,55.11,84,75,3.0,broken clouds
17,Hays,US,30.0502,-98.0336,85.35,73,95,4.0,overcast clouds
18,Mar Del Plata,AR,-38.0023,-57.5575,63.0,60,0,11.99,clear sky
19,Kodiak,US,57.79,-152.4072,49.51,76,1,6.91,clear sky
20,Alamosa,US,37.4695,-105.87,67.98,10,1,6.91,clear sky
21,Matamoros,MX,25.5333,-103.25,91.51,18,40,6.08,scattered clouds
22,Jamestown,US,42.097,-79.2353,75.85,60,90,6.91,overcast clouds
23,Port Elizabeth,ZA,-33.918,25.5701,70.09,73,75,18.41,broken clouds
